Year,Grand Prix,Date,Winner,Car,Laps
1950,Great Britain,1950-05-13,Nino FarinaFAR,Alfa Romeo,70
1950,Monaco,1950-05-21,Juan Manuel FangioFAN,Alfa Romeo,100
1950,Indianapolis,1950-05-30,Johnnie  ParsonsPAR,Kurtis Kraft Offenhauser,138
1950,Switzerland,04 Jun 1950,Nino FarinaFAR,Alfa Romeo,42
1950,Belgium,18 Jun 1950,Juan Manuel FangioFAN,Alfa Romeo,35
1950,France,02 Jul 1950,Juan Manuel FangioFAN,Alfa Romeo,64
1950,Italy,03 Sep 1950,Nino FarinaFAR,Alfa Romeo,80
1951,Switzerland,1951-05-27,Juan Manuel FangioFAN,Alfa Romeo,42
1951,Indianapolis,1951-05-30,Lee WallardWAL,Kurtis Kraft Offenhauser,200
1951,Belgium,17 Jun 1951,Nino FarinaFAR,Alfa Romeo,36
1951,France,01 Jul 1951,Juan Manuel FangioFAN,Alfa Romeo,77
1951,Great Britain,14 Jul 1951,Jose Froilan GonzalezGON,Ferrari,90
1951,Germany,29 Jul 1951,Alberto AscariASC,Ferrari,20
1951,Italy,16 Sep 1951,Alberto AscariASC,Ferrari,80
1951,Spain,28 Oct 1951,Juan Manuel FangioFAN,Alfa Romeo,70
1952,Switzerland,1952-05-18,Piero  TaruffiTAR,Ferrari,62
1952,Indianapolis,1952-05-30,Troy RuttmanRUT,Kuzma Offenhauser,200
1952,Belgium,22 Jun 1952,Alberto AscariASC,Ferrari,36
1952,France,06 Jul 1952,Alberto AscariASC,Ferrari,77
1952,Great Britain,19 Jul 1952,Alberto AscariASC,Ferrari,85
1952,Germany,03 Aug 1952,Alberto AscariASC,Ferrari,18
1952,Netherlands,17 Aug 1952,Alberto AscariASC,Ferrari,90
1952,Italy,07 Sep 1952,Alberto AscariASC,Ferrari,80
1953,Argentina,18 Jan 1953,Alberto AscariASC,Ferrari,97
1953,Indianapolis,1953-05-30,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,200
1953,Netherlands,07 Jun 1953,Alberto AscariASC,Ferrari,90
1953,Belgium,21 Jun 1953,Alberto AscariASC,Ferrari,36
1953,France,05 Jul 1953,Mike HawthornHAW,Ferrari,60
1953,Great Britain,18 Jul 1953,Alberto AscariASC,Ferrari,90
1953,Germany,02 Aug 1953,Nino FarinaFAR,Ferrari,18
1953,Switzerland,23 Aug 1953,Alberto AscariASC,Ferrari,65
1953,Italy,13 Sep 1953,Juan Manuel FangioFAN,Maserati,80
1954,Argentina,17 Jan 1954,Juan Manuel FangioFAN,Maserati,87
1954,Indianapolis,1954-05-31,Bill  Vukovich VUK,Kurtis Kraft Offenhauser,200
1954,Belgium,20 Jun 1954,Juan Manuel FangioFAN,Maserati,36
1954,France,04 Jul 1954,Juan Manuel FangioFAN,Mercedes-Benz,61
1954,Great Britain,17 Jul 1954,Jose Froilan GonzalezGON,Ferrari,90
1954,Germany,01 Aug 1954,Juan Manuel FangioFAN,Mercedes-Benz,22
1954,Switzerland,22 Aug 1954,Juan Manuel FangioFAN,Mercedes-Benz,66
1954,Italy,05 Sep 1954,Juan Manuel FangioFAN,Mercedes-Benz,80
1954,Spain,24 Oct 1954,Mike HawthornHAW,Ferrari,80
1955,Argentina,16 Jan 1955,Juan Manuel FangioFAN,Mercedes-Benz,96
1955,Monaco,1955-05-22,Maurice  TrintignantTRI,Ferrari,100
1955,Indianapolis,1955-05-30,Bob SweikertSWE,Kurtis Kraft Offenhauser,200
1955,Belgium,05 Jun 1955,Juan Manuel FangioFAN,Mercedes-Benz,36
1955,Netherlands,19 Jun 1955,Juan Manuel FangioFAN,Mercedes-Benz,100
1955,Great Britain,16 Jul 1955,Stirling MossMOS,Mercedes-Benz,90
1955,Italy,11 Sep 1955,Juan Manuel FangioFAN,Mercedes-Benz,50
1956,Argentina,22 Jan 1956,Juan Manuel FangioFAN,Ferrari,98
1956,Monaco,1956-05-13,Stirling MossMOS,Maserati,100
1956,Indianapolis,1956-05-30,Pat FlahertyFLA,Watson Offenhauser,200
1956,Belgium,03 Jun 1956,Peter CollinsCOL,Ferrari,36
1956,France,01 Jul 1956,Peter CollinsCOL,Ferrari,61
1956,Great Britain,14 Jul 1956,Juan Manuel FangioFAN,Ferrari,101
1956,Germany,05 Aug 1956,Juan Manuel FangioFAN,Ferrari,22
1956,Italy,02 Sep 1956,Stirling MossMOS,Maserati,50
1957,Argentina,13 Jan 1957,Juan Manuel FangioFAN,Maserati,100
1957,Monaco,1957-05-19,Juan Manuel FangioFAN,Maserati,105
1957,Indianapolis,1957-05-30,Sam HanksHAN,Epperly Offenhauser,200
1957,France,07 Jul 1957,Juan Manuel FangioFAN,Maserati,77
1957,Great Britain,20 Jul 1957,Stirling MossMOS,Vanwall,90
1957,Germany,04 Aug 1957,Juan Manuel FangioFAN,Maserati,22
1957,Pescara,18 Aug 1957,Stirling MossMOS,Vanwall,18
1957,Italy,08 Sep 1957,Stirling MossMOS,Vanwall,87
1958,Argentina,19 Jan 1958,Stirling MossMOS,Cooper Climax,80
1958,Monaco,1958-05-18,Maurice  TrintignantTRI,Cooper Climax,100
1958,Netherlands,1958-05-26,Stirling MossMOS,Vanwall,75
1958,Indianapolis,1958-05-30,Jimmy BryanBRY,Epperly Offenhauser,200
1958,Belgium,15 Jun 1958,Tony BrooksBRO,Vanwall,24
1958,France,06 Jul 1958,Mike HawthornHAW,Ferrari,50
1958,Great Britain,19 Jul 1958,Peter CollinsCOL,Ferrari,75
1958,Germany,03 Aug 1958,Tony BrooksBRO,Vanwall,15
1958,Portugal,24 Aug 1958,Stirling MossMOS,Vanwall,50
1958,Italy,07 Sep 1958,Tony BrooksBRO,Vanwall,70
1958,Morocco,19 Oct 1958,Stirling MossMOS,Vanwall,53
1959,Monaco,1959-05-10,Jack BrabhamBRA,Cooper Climax,100
1959,Indianapolis,1959-05-30,Rodger WardWAR,Watson Offenhauser,200
1959,Netherlands,1959-05-31,Jo BonnierBON,BRM,75
1959,France,05 Jul 1959,Tony BrooksBRO,Ferrari,50
1959,Great Britain,18 Jul 1959,Jack BrabhamBRA,Cooper Climax,75
1959,Germany,02 Aug 1959,Tony BrooksBRO,Ferrari,60
1959,Portugal,23 Aug 1959,Stirling MossMOS,Cooper Climax,62
1959,Italy,13 Sep 1959,Stirling MossMOS,Cooper Climax,72
1959,United States,12 Dec 1959,Bruce McLarenMCL,Cooper Climax,42
1960,Argentina,07 Feb 1960,Bruce McLarenMCL,Cooper Climax,80
1960,Monaco,1960-05-29,Stirling MossMOS,Lotus Climax,100
1960,Indianapolis,1960-05-30,Jim RathmannRAT,Watson Offenhauser,200
1960,Netherlands,06 Jun 1960,Jack BrabhamBRA,Cooper Climax,75
1960,Belgium,19 Jun 1960,Jack BrabhamBRA,Cooper Climax,36
1960,France,03 Jul 1960,Jack BrabhamBRA,Cooper Climax,50
1960,Great Britain,16 Jul 1960,Jack BrabhamBRA,Cooper Climax,77
1960,Portugal,14 Aug 1960,Jack BrabhamBRA,Cooper Climax,55
1960,Italy,04 Sep 1960,Phil HillHIL,Ferrari,50
1960,United States,20 Nov 1960,Stirling MossMOS,Lotus Climax,75
1961,Monaco,1961-05-14,Stirling MossMOS,Lotus Climax,100
1961,Netherlands,1961-05-22,Wolfgang von TripsVON,Ferrari,75
1961,Belgium,18 Jun 1961,Phil HillHIL,Ferrari,30
1961,France,02 Jul 1961,Giancarlo BaghettiBAG,Ferrari,52
1961,Great Britain,15 Jul 1961,Wolfgang von TripsVON,Ferrari,75
1961,Germany,06 Aug 1961,Stirling MossMOS,Lotus Climax,15
1961,Italy,10 Sep 1961,Phil HillHIL,Ferrari,43
1961,United States,08 Oct 1961,Innes IrelandIRE,Lotus Climax,100
1962,Netherlands,1962-05-20,Graham HillHIL,BRM,80
1962,Monaco,03 Jun 1962,Bruce McLarenMCL,Cooper Climax,100
1962,Belgium,17 Jun 1962,Jim ClarkCLA,Lotus Climax,32
1962,France,08 Jul 1962,Dan GurneyGUR,Porsche,54
1962,Great Britain,21 Jul 1962,Jim ClarkCLA,Lotus Climax,75
1962,Germany,05 Aug 1962,Graham HillHIL,BRM,15
1962,Italy,16 Sep 1962,Graham HillHIL,BRM,86
1962,United States,07 Oct 1962,Jim ClarkCLA,Lotus Climax,100
1962,South Africa,29 Dec 1962,Graham HillHIL,BRM,82
1963,Monaco,1963-05-26,Graham HillHIL,BRM,100
1963,Belgium,09 Jun 1963,Jim ClarkCLA,Lotus Climax,32
1963,Netherlands,23 Jun 1963,Jim ClarkCLA,Lotus Climax,80
1963,France,30 Jun 1963,Jim ClarkCLA,Lotus Climax,53
1963,Great Britain,20 Jul 1963,Jim ClarkCLA,Lotus Climax,82
1963,Germany,04 Aug 1963,John SurteesSUR,Ferrari,15
1963,Italy,08 Sep 1963,Jim ClarkCLA,Lotus Climax,86
1963,United States,06 Oct 1963,Graham HillHIL,BRM,110
1963,Mexico,27 Oct 1963,Jim ClarkCLA,Lotus Climax,65
1963,South Africa,28 Dec 1963,Jim ClarkCLA,Lotus Climax,85
1964,Monaco,1964-05-10,Graham HillHIL,BRM,100
1964,Netherlands,1964-05-24,Jim ClarkCLA,Lotus Climax,80
1964,Belgium,14 Jun 1964,Jim ClarkCLA,Lotus Climax,32
1964,France,28 Jun 1964,Dan GurneyGUR,Brabham Climax,57
1964,Great Britain,11 Jul 1964,Jim ClarkCLA,Lotus Climax,80
1964,Germany,02 Aug 1964,John SurteesSUR,Ferrari,15
1964,Austria,23 Aug 1964,Lorenzo BandiniBAN,Ferrari,105
1964,Italy,06 Sep 1964,John SurteesSUR,Ferrari,78
1964,United States,04 Oct 1964,Graham HillHIL,BRM,110
1964,Mexico,25 Oct 1964,Dan GurneyGUR,Brabham Climax,65
1965,South Africa,01 Jan 1965,Jim ClarkCLA,Lotus Climax,85
1965,Monaco,1965-05-30,Graham HillHIL,BRM,100
1965,Belgium,13 Jun 1965,Jim ClarkCLA,Lotus Climax,32
1965,France,27 Jun 1965,Jim ClarkCLA,Lotus Climax,40
1965,Great Britain,10 Jul 1965,Jim ClarkCLA,Lotus Climax,80
1965,Netherlands,18 Jul 1965,Jim ClarkCLA,Lotus Climax,80
1965,Germany,01 Aug 1965,Jim ClarkCLA,Lotus Climax,15
1965,Italy,12 Sep 1965,Jackie StewartSTE,BRM,76
1965,United States,03 Oct 1965,Graham HillHIL,BRM,110
1965,Mexico,24 Oct 1965,Richie GintherGIN,Honda,65
1966,Monaco,1966-05-22,Jackie StewartSTE,BRM,100
1966,Belgium,12 Jun 1966,John SurteesSUR,Ferrari,28
1966,France,03 Jul 1966,Jack BrabhamBRA,Brabham Repco,48
1966,Great Britain,16 Jul 1966,Jack BrabhamBRA,Brabham Repco,80
1966,Netherlands,24 Jul 1966,Jack BrabhamBRA,Brabham Repco,90
1966,Germany,07 Aug 1966,Jack BrabhamBRA,Brabham Repco,15
1966,Italy,04 Sep 1966,Ludovico ScarfiottiSCA,Ferrari,68
1966,United States,02 Oct 1966,Jim ClarkCLA,Lotus BRM,108
1966,Mexico,23 Oct 1966,John SurteesSUR,Cooper Maserati,65
1967,South Africa,02 Jan 1967,Pedro RodriguezROD,Cooper Maserati,80
1967,Monaco,1967-05-07,Denny HulmeHUL,Brabham Repco,100
1967,Netherlands,04 Jun 1967,Jim ClarkCLA,Lotus Ford,90
1967,Belgium,18 Jun 1967,Dan GurneyGUR,Eagle Weslake,28
1967,France,02 Jul 1967,Jack BrabhamBRA,Brabham Repco,80
1967,Great Britain,15 Jul 1967,Jim ClarkCLA,Lotus Ford,80
1967,Germany,06 Aug 1967,Denny HulmeHUL,Brabham Repco,15
1967,Canada,27 Aug 1967,Jack BrabhamBRA,Brabham Repco,90
1967,Italy,10 Sep 1967,John SurteesSUR,Honda,68
1967,United States,01 Oct 1967,Jim ClarkCLA,Lotus Ford,108
1967,Mexico,22 Oct 1967,Jim ClarkCLA,Lotus Ford,65
1968,South Africa,01 Jan 1968,Jim ClarkCLA,Lotus Ford,80
1968,Spain,1968-05-12,Graham HillHIL,Lotus Ford,90
1968,Monaco,1968-05-26,Graham HillHIL,Lotus Ford,80
1968,Belgium,09 Jun 1968,Bruce McLarenMCL,McLaren Ford,28
1968,Netherlands,23 Jun 1968,Jackie StewartSTE,Matra Ford,90
1968,France,07 Jul 1968,Jacky IckxICK,Ferrari,60
1968,Great Britain,20 Jul 1968,Jo SiffertSIF,Lotus Ford,80
1968,Germany,04 Aug 1968,Jackie StewartSTE,Matra Ford,14
1968,Italy,08 Sep 1968,Denny HulmeHUL,McLaren Ford,68
1968,Canada,22 Sep 1968,Denny HulmeHUL,McLaren Ford,90
1968,United States,06 Oct 1968,Jackie StewartSTE,Matra Ford,108
1968,Mexico,03 Nov 1968,Graham HillHIL,Lotus Ford,65
1969,South Africa,01 Mar 1969,Jackie StewartSTE,Matra Ford,80
1969,Spain,1969-05-04,Jackie StewartSTE,Matra Ford,90
1969,Monaco,1969-05-18,Graham HillHIL,Lotus Ford,80
1969,Netherlands,21 Jun 1969,Jackie StewartSTE,Matra Ford,90
1969,France,06 Jul 1969,Jackie StewartSTE,Matra Ford,38
1969,Great Britain,19 Jul 1969,Jackie StewartSTE,Matra Ford,84
1969,Germany,03 Aug 1969,Jacky IckxICK,Brabham Ford,14
1969,Italy,07 Sep 1969,Jackie StewartSTE,Matra Ford,68
1969,Canada,20 Sep 1969,Jacky IckxICK,Brabham Ford,90
1969,United States,05 Oct 1969,Jochen RindtRIN,Lotus Ford,108
1969,Mexico,19 Oct 1969,Denny HulmeHUL,McLaren Ford,65
1970,South Africa,07 Mar 1970,Jack BrabhamBRA,Brabham Ford,80
1970,Spain,19 Apr 1970,Jackie StewartSTE,March Ford,90
1970,Monaco,1970-05-10,Jochen RindtRIN,Lotus Ford,80
1970,Belgium,07 Jun 1970,Pedro RodriguezROD,BRM,28
1970,Netherlands,21 Jun 1970,Jochen RindtRIN,Lotus Ford,80
1970,France,05 Jul 1970,Jochen RindtRIN,Lotus Ford,38
1970,Great Britain,18 Jul 1970,Jochen RindtRIN,Lotus Ford,80
1970,Germany,02 Aug 1970,Jochen RindtRIN,Lotus Ford,50
1970,Austria,16 Aug 1970,Jacky IckxICK,Ferrari,60
1970,Italy,06 Sep 1970,Clay RegazzoniREG,Ferrari,68
1970,Canada,20 Sep 1970,Jacky IckxICK,Ferrari,90
1970,United States,04 Oct 1970,Emerson FittipaldiFIT,Lotus Ford,108
1970,Mexico,25 Oct 1970,Jacky IckxICK,Ferrari,65
1971,South Africa,06 Mar 1971,Mario AndrettiAND,Ferrari,79
1971,Spain,18 Apr 1971,Jackie StewartSTE,Tyrrell Ford,75
1971,Monaco,1971-05-23,Jackie StewartSTE,Tyrrell Ford,80
1971,Netherlands,20 Jun 1971,Jacky IckxICK,Ferrari,70
1971,France,04 Jul 1971,Jackie StewartSTE,Tyrrell Ford,55
1971,Great Britain,17 Jul 1971,Jackie StewartSTE,Tyrrell Ford,68
1971,Germany,01 Aug 1971,Jackie StewartSTE,Tyrrell Ford,12
1971,Austria,15 Aug 1971,Jo SiffertSIF,BRM,54
1971,Italy,05 Sep 1971,Peter  Gethin GET,BRM,55
1971,Canada,19 Sep 1971,Jackie StewartSTE,Tyrrell Ford,64
1971,United States,03 Oct 1971,Francois  Cevert CEV,Tyrrell Ford,59
1972,Argentina,23 Jan 1972,Jackie StewartSTE,Tyrrell Ford,95
1972,South Africa,04 Mar 1972,Denny HulmeHUL,McLaren Ford,79
1972,Spain,1972-05-01,Emerson FittipaldiFIT,Lotus Ford,90
1972,Monaco,1972-05-14,Jean-Pierre BeltoiseBEL,BRM,80
1972,Belgium,04 Jun 1972,Emerson FittipaldiFIT,Lotus Ford,85
1972,France,02 Jul 1972,Jackie StewartSTE,Tyrrell Ford,38
1972,Great Britain,15 Jul 1972,Emerson FittipaldiFIT,Lotus Ford,76
1972,Germany,30 Jul 1972,Jacky IckxICK,Ferrari,14
1972,Austria,13 Aug 1972,Emerson FittipaldiFIT,Lotus Ford,54
1972,Italy,10 Sep 1972,Emerson FittipaldiFIT,Lotus Ford,55
1972,Canada,24 Sep 1972,Jackie StewartSTE,Tyrrell Ford,80
1972,United States,08 Oct 1972,Jackie StewartSTE,Tyrrell Ford,59
1973,Argentina,28 Jan 1973,Emerson FittipaldiFIT,Lotus Ford,96
1973,Brazil,11 Feb 1973,Emerson FittipaldiFIT,Lotus Ford,40
1973,South Africa,03 Mar 1973,Jackie StewartSTE,Tyrrell Ford,79
1973,Spain,29 Apr 1973,Emerson FittipaldiFIT,Lotus Ford,75
1973,Belgium,1973-05-20,Jackie StewartSTE,Tyrrell Ford,70
1973,Monaco,03 Jun 1973,Jackie StewartSTE,Tyrrell Ford,78
1973,Sweden,17 Jun 1973,Denny HulmeHUL,McLaren Ford,80
1973,France,01 Jul 1973,Ronnie PetersonPET,Lotus Ford,54
1973,Great Britain,14 Jul 1973,Peter   RevsonREV,McLaren Ford,67
1973,Netherlands,29 Jul 1973,Jackie StewartSTE,Tyrrell Ford,72
1973,Germany,05 Aug 1973,Jackie StewartSTE,Tyrrell Ford,14
1973,Austria,19 Aug 1973,Ronnie PetersonPET,Lotus Ford,54
1973,Italy,09 Sep 1973,Ronnie PetersonPET,Lotus Ford,55
1973,Canada,23 Sep 1973,Peter   RevsonREV,McLaren Ford,80
1973,United States,07 Oct 1973,Ronnie PetersonPET,Lotus Ford,59
1974,Argentina,13 Jan 1974,Denny HulmeHUL,McLaren Ford,53
1974,Brazil,27 Jan 1974,Emerson FittipaldiFIT,McLaren Ford,32
1974,South Africa,30 Mar 1974,Carlos ReutemannREU,Brabham Ford,78
1974,Spain,28 Apr 1974,Niki LaudaLAU,Ferrari,84
1974,Belgium,1974-05-12,Emerson FittipaldiFIT,McLaren Ford,85
1974,Monaco,1974-05-26,Ronnie PetersonPET,Lotus Ford,78
1974,Sweden,09 Jun 1974,Jody ScheckterSCH,Tyrrell Ford,80
1974,Netherlands,23 Jun 1974,Niki LaudaLAU,Ferrari,75
1974,France,07 Jul 1974,Ronnie PetersonPET,Lotus Ford,80
1974,Great Britain,20 Jul 1974,Jody ScheckterSCH,Tyrrell Ford,75
1974,Germany,04 Aug 1974,Clay RegazzoniREG,Ferrari,14
1974,Austria,18 Aug 1974,Carlos ReutemannREU,Brabham Ford,54
1974,Italy,08 Sep 1974,Ronnie PetersonPET,Lotus Ford,52
1974,Canada,22 Sep 1974,Emerson FittipaldiFIT,McLaren Ford,80
1974,United States,06 Oct 1974,Carlos ReutemannREU,Brabham Ford,59
1975,Argentina,12 Jan 1975,Emerson FittipaldiFIT,McLaren Ford,53
1975,Brazil,26 Jan 1975,Carlos PacePAC,Brabham Ford,40
1975,South Africa,01 Mar 1975,Jody ScheckterSCH,Tyrrell Ford,78
1975,Spain,27 Apr 1975,Jochen MassMAS,McLaren Ford,29
1975,Monaco,1975-05-11,Niki LaudaLAU,Ferrari,75
1975,Belgium,1975-05-25,Niki LaudaLAU,Ferrari,70
1975,Sweden,08 Jun 1975,Niki LaudaLAU,Ferrari,80
1975,Netherlands,22 Jun 1975,James HuntHUN,Hesketh Ford,75
1975,France,06 Jul 1975,Niki LaudaLAU,Ferrari,54
1975,Great Britain,19 Jul 1975,Emerson FittipaldiFIT,McLaren Ford,56
1975,Germany,03 Aug 1975,Carlos ReutemannREU,Brabham Ford,14
1975,Austria,17 Aug 1975,Vittorio BrambillaBRA,March Ford,29
1975,Italy,07 Sep 1975,Clay RegazzoniREG,Ferrari,52
1975,United States,05 Oct 1975,Niki LaudaLAU,Ferrari,59
1976,Brazil,25 Jan 1976,Niki LaudaLAU,Ferrari,40
1976,South Africa,06 Mar 1976,Niki LaudaLAU,Ferrari,78
1976,USA West,28 Mar 1976,Clay RegazzoniREG,Ferrari,80
1976,Spain,1976-05-02,James HuntHUN,McLaren Ford,75
1976,Belgium,1976-05-16,Niki LaudaLAU,Ferrari,70
1976,Monaco,1976-05-30,Niki LaudaLAU,Ferrari,78
1976,Sweden,13 Jun 1976,Jody ScheckterSCH,Tyrrell Ford,72
1976,France,04 Jul 1976,James HuntHUN,McLaren Ford,54
1976,Great Britain,18 Jul 1976,Niki LaudaLAU,Ferrari,76
1976,Germany,01 Aug 1976,James HuntHUN,McLaren Ford,14
1976,Austria,15 Aug 1976,John WatsonWAT,Penske Ford,54
1976,Netherlands,29 Aug 1976,James HuntHUN,McLaren Ford,75
1976,Italy,12 Sep 1976,Ronnie PetersonPET,March Ford,52
1976,Canada,03 Oct 1976,James HuntHUN,McLaren Ford,80
1976,USA East,10 Oct 1976,James HuntHUN,McLaren Ford,59
1976,Japan,24 Oct 1976,Mario AndrettiAND,Lotus Ford,73
1977,Argentina,09 Jan 1977,Jody ScheckterSCH,Wolf Ford,53
1977,Brazil,23 Jan 1977,Carlos ReutemannREU,Ferrari,40
1977,South Africa,05 Mar 1977,Niki LaudaLAU,Ferrari,78
1977,USA West,03 Apr 1977,Mario AndrettiAND,Lotus Ford,80
1977,Spain,1977-05-08,Mario AndrettiAND,Lotus Ford,75
1977,Monaco,1977-05-22,Jody ScheckterSCH,Wolf Ford,76
1977,Belgium,05 Jun 1977,Gunnar NilssonNIL,Lotus Ford,70
1977,Sweden,19 Jun 1977,Jacques LaffiteLAF,Ligier Matra,72
1977,France,03 Jul 1977,Mario AndrettiAND,Lotus Ford,80
1977,Great Britain,16 Jul 1977,James HuntHUN,McLaren Ford,68
1977,Germany,31 Jul 1977,Niki LaudaLAU,Ferrari,47
1977,Austria,14 Aug 1977,Alan  JonesJON,Shadow Ford,54
1977,Netherlands,28 Aug 1977,Niki LaudaLAU,Ferrari,75
1977,Italy,11 Sep 1977,Mario AndrettiAND,Lotus Ford,52
1977,USA East,02 Oct 1977,James HuntHUN,McLaren Ford,59
1977,Canada,09 Oct 1977,Jody ScheckterSCH,Wolf Ford,80
1977,Japan,23 Oct 1977,James HuntHUN,McLaren Ford,73
1978,Argentina,15 Jan 1978,Mario AndrettiAND,Lotus Ford,52
1978,Brazil,29 Jan 1978,Carlos ReutemannREU,Ferrari,63
1978,South Africa,04 Mar 1978,Ronnie PetersonPET,Lotus Ford,78
1978,USA West,02 Apr 1978,Carlos ReutemannREU,Ferrari,80
1978,Monaco,1978-05-07,Patrick DepaillerDEP,Tyrrell Ford,75
1978,Belgium,1978-05-21,Mario AndrettiAND,Lotus Ford,70
1978,Spain,04 Jun 1978,Mario AndrettiAND,Lotus Ford,75
1978,Sweden,17 Jun 1978,Niki LaudaLAU,Brabham Alfa Romeo,70
1978,France,02 Jul 1978,Mario AndrettiAND,Lotus Ford,54
1978,Great Britain,16 Jul 1978,Carlos ReutemannREU,Ferrari,76
1978,Germany,30 Jul 1978,Mario AndrettiAND,Lotus Ford,45
1978,Austria,13 Aug 1978,Ronnie PetersonPET,Lotus Ford,54
1978,Netherlands,27 Aug 1978,Mario AndrettiAND,Lotus Ford,75
1978,Italy,10 Sep 1978,Niki LaudaLAU,Brabham Alfa Romeo,40
1978,USA East,01 Oct 1978,Carlos ReutemannREU,Ferrari,59
1978,Canada,08 Oct 1978,Gilles VilleneuveVIL,Ferrari,70
1979,Argentina,21 Jan 1979,Jacques LaffiteLAF,Ligier Ford,53
1979,Brazil,04 Feb 1979,Jacques LaffiteLAF,Ligier Ford,40
1979,South Africa,03 Mar 1979,Gilles VilleneuveVIL,Ferrari,78
1979,USA West,08 Apr 1979,Gilles VilleneuveVIL,Ferrari,80
1979,Spain,29 Apr 1979,Patrick DepaillerDEP,Ligier Ford,75
1979,Belgium,1979-05-13,Jody ScheckterSCH,Ferrari,70
1979,Monaco,1979-05-27,Jody ScheckterSCH,Ferrari,76
1979,France,01 Jul 1979,Jean-Pierre JabouilleJAB,Renault,80
1979,Great Britain,14 Jul 1979,Clay RegazzoniREG,Williams Ford,68
1979,Germany,29 Jul 1979,Alan  JonesJON,Williams Ford,45
1979,Austria,12 Aug 1979,Alan  JonesJON,Williams Ford,54
1979,Netherlands,26 Aug 1979,Alan  JonesJON,Williams Ford,75
1979,Italy,09 Sep 1979,Jody ScheckterSCH,Ferrari,50
1979,Canada,30 Sep 1979,Alan  JonesJON,Williams Ford,72
1979,USA East,07 Oct 1979,Gilles VilleneuveVIL,Ferrari,59
1980,Argentina,13 Jan 1980,Alan  JonesJON,Williams Ford,53
1980,Brazil,27 Jan 1980,Rene ArnouxARN,Renault,40
1980,South Africa,01 Mar 1980,Rene ArnouxARN,Renault,78
1980,USA West,30 Mar 1980,Nelson PiquetPIQ,Brabham Ford,80
1980,Belgium,1980-05-04,Didier PironiPIR,Ligier Ford,72
1980,Monaco,1980-05-18,Carlos ReutemannREU,Williams Ford,76
1980,France,29 Jun 1980,Alan  JonesJON,Williams Ford,54
1980,Great Britain,13 Jul 1980,Alan  JonesJON,Williams Ford,76
1980,Germany,10 Aug 1980,Jacques LaffiteLAF,Ligier Ford,45
1980,Austria,17 Aug 1980,Jean-Pierre JabouilleJAB,Renault,54
1980,Netherlands,31 Aug 1980,Nelson PiquetPIQ,Brabham Ford,72
1980,Italy,14 Sep 1980,Nelson PiquetPIQ,Brabham Ford,60
1980,Canada,28 Sep 1980,Alan  JonesJON,Williams Ford,70
1980,USA East,05 Oct 1980,Alan  JonesJON,Williams Ford,59
1981,USA West,15 Mar 1981,Alan  JonesJON,Williams Ford,80
1981,Brazil,29 Mar 1981,Carlos ReutemannREU,Williams Ford,62
1981,Argentina,12 Apr 1981,Nelson PiquetPIQ,Brabham Ford,53
1981,San Marino,1981-05-03,Nelson PiquetPIQ,Brabham Ford,60
1981,Belgium,1981-05-17,Carlos ReutemannREU,Williams Ford,54
1981,Monaco,1981-05-31,Gilles VilleneuveVIL,Ferrari,76
1981,Spain,21 Jun 1981,Gilles VilleneuveVIL,Ferrari,80
1981,France,05 Jul 1981,Alain ProstPRO,Renault,80
1981,Great Britain,18 Jul 1981,John WatsonWAT,McLaren Ford,68
1981,Germany,02 Aug 1981,Nelson PiquetPIQ,Brabham Ford,45
1981,Austria,16 Aug 1981,Jacques LaffiteLAF,Ligier Matra,53
1981,Netherlands,30 Aug 1981,Alain ProstPRO,Renault,72
1981,Italy,13 Sep 1981,Alain ProstPRO,Renault,52
1981,Canada,27 Sep 1981,Jacques LaffiteLAF,Ligier Matra,63
1981,Caesar's Palace,17 Oct 1981,Alan  JonesJON,Williams Ford,75
1982,South Africa,23 Jan 1982,Alain ProstPRO,Renault,77
1982,Brazil,21 Mar 1982,Alain ProstPRO,Renault,63
1982,USA West,04 Apr 1982,Niki LaudaLAU,McLaren Ford,75
1982,San Marino,25 Apr 1982,Didier PironiPIR,Ferrari,60
1982,Belgium,1982-05-09,John WatsonWAT,McLaren Ford,70
1982,Monaco,1982-05-23,Riccardo PatresePAT,Brabham Ford,76
1982,Detroit,06 Jun 1982,John WatsonWAT,McLaren Ford,62
1982,Canada,13 Jun 1982,Nelson PiquetPIQ,Brabham BMW,70
1982,Netherlands,03 Jul 1982,Didier PironiPIR,Ferrari,72
1982,Great Britain,18 Jul 1982,Niki LaudaLAU,McLaren Ford,76
1982,France,25 Jul 1982,Rene ArnouxARN,Renault,54
1982,Germany,08 Aug 1982,Patrick TambayTAM,Ferrari,45
1982,Austria,15 Aug 1982,Elio de AngelisDEA,Lotus Ford,53
1982,Switzerland,29 Aug 1982,Keke RosbergROS,Williams Ford,80
1982,Italy,12 Sep 1982,Rene ArnouxARN,Renault,52
1982,Caesar's Palace,25 Sep 1982,Michele AlboretoALB,Tyrrell Ford,75
1983,Brazil,13 Mar 1983,Nelson PiquetPIQ,Brabham BMW,63
1983,USA West,27 Mar 1983,John WatsonWAT,McLaren Ford,75
1983,France,17 Apr 1983,Alain ProstPRO,Renault,54
1983,San Marino,1983-05-01,Patrick TambayTAM,Ferrari,60
