Year,Position,Driver,Car,Laps,Points
1972,11,Alexander AlbonALB,Williams Mercedes,57,0
1972,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1972,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1972,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1972,15,Jack DoohanDOO,Alpine Renault,57,0
1972,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1972,17,Liam LawsonLAW,RB Honda RBPT,55,0
1972,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1972,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1972,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1973,1,Lando NorrisNOR,McLaren Mercedes,58,25
1973,2,Carlos SainzSAI,Ferrari,58,18
1973,3,Charles LeclercLEC,Ferrari,58,15
1973,4,Lewis HamiltonHAM,Mercedes,58,12
1973,5,George RussellRUS,Mercedes,58,10
1973,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1973,7,Pierre GaslyGAS,Alpine Renault,58,6
1973,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1973,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1973,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1973,11,Alexander AlbonALB,Williams Mercedes,57,0
1973,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1973,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1973,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1973,15,Jack DoohanDOO,Alpine Renault,57,0
1973,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1973,17,Liam LawsonLAW,RB Honda RBPT,55,0
1973,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1973,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1973,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1974,1,Lando NorrisNOR,McLaren Mercedes,58,25
1974,2,Carlos SainzSAI,Ferrari,58,18
1974,3,Charles LeclercLEC,Ferrari,58,15
1974,4,Lewis HamiltonHAM,Mercedes,58,12
1974,5,George RussellRUS,Mercedes,58,10
1974,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1974,7,Pierre GaslyGAS,Alpine Renault,58,6
1974,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1974,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1974,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1974,11,Alexander AlbonALB,Williams Mercedes,57,0
1974,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1974,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1974,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1974,15,Jack DoohanDOO,Alpine Renault,57,0
1974,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1974,17,Liam LawsonLAW,RB Honda RBPT,55,0
1974,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1974,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1974,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1975,1,Lando NorrisNOR,McLaren Mercedes,58,25
1975,2,Carlos SainzSAI,Ferrari,58,18
1975,3,Charles LeclercLEC,Ferrari,58,15
1975,4,Lewis HamiltonHAM,Mercedes,58,12
1975,5,George RussellRUS,Mercedes,58,10
1975,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1975,7,Pierre GaslyGAS,Alpine Renault,58,6
1975,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1975,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1975,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1975,11,Alexander AlbonALB,Williams Mercedes,57,0
1975,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1975,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1975,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1975,15,Jack DoohanDOO,Alpine Renault,57,0
1975,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1975,17,Liam LawsonLAW,RB Honda RBPT,55,0
1975,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1975,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1975,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1976,1,Lando NorrisNOR,McLaren Mercedes,58,25
1976,2,Carlos SainzSAI,Ferrari,58,18
1976,3,Charles LeclercLEC,Ferrari,58,15
1976,4,Lewis HamiltonHAM,Mercedes,58,12
1976,5,George RussellRUS,Mercedes,58,10
1976,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1976,7,Pierre GaslyGAS,Alpine Renault,58,6
1976,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1976,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1976,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1976,11,Alexander AlbonALB,Williams Mercedes,57,0
1976,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1976,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1976,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1976,15,Jack DoohanDOO,Alpine Renault,57,0
1976,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1976,17,Liam LawsonLAW,RB Honda RBPT,55,0
1976,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1976,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1976,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1977,1,Lando NorrisNOR,McLaren Mercedes,58,25
1977,2,Carlos SainzSAI,Ferrari,58,18
1977,3,Charles LeclercLEC,Ferrari,58,15
1977,4,Lewis HamiltonHAM,Mercedes,58,12
1977,5,George RussellRUS,Mercedes,58,10
1977,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1977,7,Pierre GaslyGAS,Alpine Renault,58,6
1977,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1977,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1977,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1977,11,Alexander AlbonALB,Williams Mercedes,57,0
1977,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1977,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1977,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1977,15,Jack DoohanDOO,Alpine Renault,57,0
1977,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1977,17,Liam LawsonLAW,RB Honda RBPT,55,0
1977,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1977,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1977,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1978,1,Lando NorrisNOR,McLaren Mercedes,58,25
1978,2,Carlos SainzSAI,Ferrari,58,18
1978,3,Charles LeclercLEC,Ferrari,58,15
1978,4,Lewis HamiltonHAM,Mercedes,58,12
1978,5,George RussellRUS,Mercedes,58,10
1978,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1978,7,Pierre GaslyGAS,Alpine Renault,58,6
1978,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1978,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1978,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1978,11,Alexander AlbonALB,Williams Mercedes,57,0
1978,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1978,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1978,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1978,15,Jack DoohanDOO,Alpine Renault,57,0
1978,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1978,17,Liam LawsonLAW,RB Honda RBPT,55,0
1978,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1978,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1978,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1979,1,Lando NorrisNOR,McLaren Mercedes,58,25
1979,2,Carlos SainzSAI,Ferrari,58,18
1979,3,Charles LeclercLEC,Ferrari,58,15
1979,4,Lewis HamiltonHAM,Mercedes,58,12
1979,5,George RussellRUS,Mercedes,58,10
1979,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1979,7,Pierre GaslyGAS,Alpine Renault,58,6
1979,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1979,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1979,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1979,11,Alexander AlbonALB,Williams Mercedes,57,0
1979,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1979,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1979,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1979,15,Jack DoohanDOO,Alpine Renault,57,0
1979,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1979,17,Liam LawsonLAW,RB Honda RBPT,55,0
1979,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1979,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1979,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1980,1,Lando NorrisNOR,McLaren Mercedes,58,25
1980,2,Carlos SainzSAI,Ferrari,58,18
1980,3,Charles LeclercLEC,Ferrari,58,15
1980,4,Lewis HamiltonHAM,Mercedes,58,12
1980,5,George RussellRUS,Mercedes,58,10
1980,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1980,7,Pierre GaslyGAS,Alpine Renault,58,6
1980,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1980,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1980,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1980,11,Alexander AlbonALB,Williams Mercedes,57,0
1980,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1980,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1980,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1980,15,Jack DoohanDOO,Alpine Renault,57,0
1980,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1980,17,Liam LawsonLAW,RB Honda RBPT,55,0
1980,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1980,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1980,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1981,1,Lando NorrisNOR,McLaren Mercedes,58,25
1981,2,Carlos SainzSAI,Ferrari,58,18
1981,3,Charles LeclercLEC,Ferrari,58,15
1981,4,Lewis HamiltonHAM,Mercedes,58,12
1981,5,George RussellRUS,Mercedes,58,10
1981,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1981,7,Pierre GaslyGAS,Alpine Renault,58,6
1981,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1981,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1981,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1981,11,Alexander AlbonALB,Williams Mercedes,57,0
1981,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1981,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1981,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1981,15,Jack DoohanDOO,Alpine Renault,57,0
1981,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1981,17,Liam LawsonLAW,RB Honda RBPT,55,0
1981,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1981,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1981,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1982,1,Lando NorrisNOR,McLaren Mercedes,58,25
1982,2,Carlos SainzSAI,Ferrari,58,18
1982,3,Charles LeclercLEC,Ferrari,58,15
1982,4,Lewis HamiltonHAM,Mercedes,58,12
1982,5,George RussellRUS,Mercedes,58,10
1982,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1982,7,Pierre GaslyGAS,Alpine Renault,58,6
1982,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1982,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1982,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1982,11,Alexander AlbonALB,Williams Mercedes,57,0
1982,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1982,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1982,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1982,15,Jack DoohanDOO,Alpine Renault,57,0
1982,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1982,17,Liam LawsonLAW,RB Honda RBPT,55,0
1982,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1982,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1982,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1983,1,Lando NorrisNOR,McLaren Mercedes,58,25
1983,2,Carlos SainzSAI,Ferrari,58,18
1983,3,Charles LeclercLEC,Ferrari,58,15
1983,4,Lewis HamiltonHAM,Mercedes,58,12
1983,5,George RussellRUS,Mercedes,58,10
1983,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1983,7,Pierre GaslyGAS,Alpine Renault,58,6
1983,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1983,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1983,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1983,11,Alexander AlbonALB,Williams Mercedes,57,0
1983,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1983,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1983,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1983,15,Jack DoohanDOO,Alpine Renault,57,0
1983,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1983,17,Liam LawsonLAW,RB Honda RBPT,55,0
1983,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1983,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1983,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1984,1,Lando NorrisNOR,McLaren Mercedes,58,25
1984,2,Carlos SainzSAI,Ferrari,58,18
1984,3,Charles LeclercLEC,Ferrari,58,15
1984,4,Lewis HamiltonHAM,Mercedes,58,12
1984,5,George RussellRUS,Mercedes,58,10
1984,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1984,7,Pierre GaslyGAS,Alpine Renault,58,6
1984,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1984,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1984,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1984,11,Alexander AlbonALB,Williams Mercedes,57,0
1984,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1984,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1984,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1984,15,Jack DoohanDOO,Alpine Renault,57,0
1984,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1984,17,Liam LawsonLAW,RB Honda RBPT,55,0
1984,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1984,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1984,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1985,1,Lando NorrisNOR,McLaren Mercedes,58,25
1985,2,Carlos SainzSAI,Ferrari,58,18
1985,3,Charles LeclercLEC,Ferrari,58,15
1985,4,Lewis HamiltonHAM,Mercedes,58,12
1985,5,George RussellRUS,Mercedes,58,10
1985,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1985,7,Pierre GaslyGAS,Alpine Renault,58,6
1985,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1985,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1985,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1985,11,Alexander AlbonALB,Williams Mercedes,57,0
1985,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1985,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1985,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1985,15,Jack DoohanDOO,Alpine Renault,57,0
1985,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1985,17,Liam LawsonLAW,RB Honda RBPT,55,0
1985,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1985,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1985,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1986,1,Lando NorrisNOR,McLaren Mercedes,58,25
1986,2,Carlos SainzSAI,Ferrari,58,18
1986,3,Charles LeclercLEC,Ferrari,58,15
1986,4,Lewis HamiltonHAM,Mercedes,58,12
1986,5,George RussellRUS,Mercedes,58,10
1986,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1986,7,Pierre GaslyGAS,Alpine Renault,58,6
1986,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1986,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1986,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1986,11,Alexander AlbonALB,Williams Mercedes,57,0
1986,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1986,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1986,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1986,15,Jack DoohanDOO,Alpine Renault,57,0
1986,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1986,17,Liam LawsonLAW,RB Honda RBPT,55,0
1986,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1986,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1986,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1987,1,Lando NorrisNOR,McLaren Mercedes,58,25
1987,2,Carlos SainzSAI,Ferrari,58,18
1987,3,Charles LeclercLEC,Ferrari,58,15
1987,4,Lewis HamiltonHAM,Mercedes,58,12
1987,5,George RussellRUS,Mercedes,58,10
1987,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1987,7,Pierre GaslyGAS,Alpine Renault,58,6
1987,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1987,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1987,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1987,11,Alexander AlbonALB,Williams Mercedes,57,0
1987,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1987,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1987,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1987,15,Jack DoohanDOO,Alpine Renault,57,0
1987,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1987,17,Liam LawsonLAW,RB Honda RBPT,55,0
1987,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1987,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1987,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1988,1,Lando NorrisNOR,McLaren Mercedes,58,25
1988,2,Carlos SainzSAI,Ferrari,58,18
1988,3,Charles LeclercLEC,Ferrari,58,15
1988,4,Lewis HamiltonHAM,Mercedes,58,12
1988,5,George RussellRUS,Mercedes,58,10
1988,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1988,7,Pierre GaslyGAS,Alpine Renault,58,6
1988,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1988,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1988,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1988,11,Alexander AlbonALB,Williams Mercedes,57,0
1988,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1988,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1988,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1988,15,Jack DoohanDOO,Alpine Renault,57,0
1988,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1988,17,Liam LawsonLAW,RB Honda RBPT,55,0
1988,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1988,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1988,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1989,1,Lando NorrisNOR,McLaren Mercedes,58,25
1989,2,Carlos SainzSAI,Ferrari,58,18
1989,3,Charles LeclercLEC,Ferrari,58,15
1989,4,Lewis HamiltonHAM,Mercedes,58,12
1989,5,George RussellRUS,Mercedes,58,10
1989,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1989,7,Pierre GaslyGAS,Alpine Renault,58,6
1989,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1989,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1989,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1989,11,Alexander AlbonALB,Williams Mercedes,57,0
1989,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1989,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1989,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1989,15,Jack DoohanDOO,Alpine Renault,57,0
1989,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1989,17,Liam LawsonLAW,RB Honda RBPT,55,0
1989,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1989,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1989,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1990,1,Lando NorrisNOR,McLaren Mercedes,58,25
1990,2,Carlos SainzSAI,Ferrari,58,18
1990,3,Charles LeclercLEC,Ferrari,58,15
1990,4,Lewis HamiltonHAM,Mercedes,58,12
1990,5,George RussellRUS,Mercedes,58,10
1990,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1990,7,Pierre GaslyGAS,Alpine Renault,58,6
1990,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1990,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1990,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1990,11,Alexander AlbonALB,Williams Mercedes,57,0
1990,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1990,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1990,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1990,15,Jack DoohanDOO,Alpine Renault,57,0
1990,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1990,17,Liam LawsonLAW,RB Honda RBPT,55,0
1990,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1990,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1990,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1991,1,Lando NorrisNOR,McLaren Mercedes,58,25
1991,2,Carlos SainzSAI,Ferrari,58,18
1991,3,Charles LeclercLEC,Ferrari,58,15
1991,4,Lewis HamiltonHAM,Mercedes,58,12
1991,5,George RussellRUS,Mercedes,58,10
1991,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1991,7,Pierre GaslyGAS,Alpine Renault,58,6
1991,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1991,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1991,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1991,11,Alexander AlbonALB,Williams Mercedes,57,0
1991,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1991,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1991,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1991,15,Jack DoohanDOO,Alpine Renault,57,0
1991,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1991,17,Liam LawsonLAW,RB Honda RBPT,55,0
1991,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1991,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1991,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1992,1,Lando NorrisNOR,McLaren Mercedes,58,25
1992,2,Carlos SainzSAI,Ferrari,58,18
1992,3,Charles LeclercLEC,Ferrari,58,15
1992,4,Lewis HamiltonHAM,Mercedes,58,12
1992,5,George RussellRUS,Mercedes,58,10
1992,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1992,7,Pierre GaslyGAS,Alpine Renault,58,6
1992,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1992,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1992,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1992,11,Alexander AlbonALB,Williams Mercedes,57,0
1992,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1992,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1992,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1992,15,Jack DoohanDOO,Alpine Renault,57,0
1992,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1992,17,Liam LawsonLAW,RB Honda RBPT,55,0
1992,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1992,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1992,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1993,1,Lando NorrisNOR,McLaren Mercedes,58,25
1993,2,Carlos SainzSAI,Ferrari,58,18
1993,3,Charles LeclercLEC,Ferrari,58,15
1993,4,Lewis HamiltonHAM,Mercedes,58,12
1993,5,George RussellRUS,Mercedes,58,10
1993,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1993,7,Pierre GaslyGAS,Alpine Renault,58,6
1993,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1993,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1993,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1993,11,Alexander AlbonALB,Williams Mercedes,57,0
1993,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1993,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1993,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1993,15,Jack DoohanDOO,Alpine Renault,57,0
1993,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1993,17,Liam LawsonLAW,RB Honda RBPT,55,0
1993,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1993,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1993,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1994,1,Lando NorrisNOR,McLaren Mercedes,58,25
1994,2,Carlos SainzSAI,Ferrari,58,18
1994,3,Charles LeclercLEC,Ferrari,58,15
1994,4,Lewis HamiltonHAM,Mercedes,58,12
1994,5,George RussellRUS,Mercedes,58,10
1994,6,Max VerstappenVER,Red Bull Racing Honda RBPT,58,8
1994,7,Pierre GaslyGAS,Alpine Renault,58,6
1994,8,Nico HulkenbergHUL,Haas Ferrari,58,4
1994,9,Fernando AlonsoALO,Aston Martin Aramco Mercedes,58,2
1994,10,Oscar PiastriPIA,McLaren Mercedes,58,1
1994,11,Alexander AlbonALB,Williams Mercedes,57,0
1994,12,Yuki TsunodaTSU,RB Honda RBPT,57,0
1994,13,Zhou GuanyuZHO,Kick Sauber Ferrari,57,0
1994,14,Lance StrollSTR,Aston Martin Aramco Mercedes,57,0
1994,15,Jack DoohanDOO,Alpine Renault,57,0
1994,16,Kevin MagnussenMAG,Haas Ferrari,57,0
1994,17,Liam LawsonLAW,RB Honda RBPT,55,0
1994,NC,Valtteri BottasBOT,Kick Sauber Ferrari,30,0
1994,NC,Franco ColapintoCOL,Williams Mercedes,26,0
1994,NC,Sergio PerezPER,Red Bull Racing Honda RBPT,0,0
1995,1,Lando NorrisNOR,McLaren Mercedes,58,25
1995,2,Carlos SainzSAI,Ferrari,58,18
